PLT_CN,PDSI_ATA_bin
1.4167E+13,1
1.4167E+13,1
1.4167E+13,2
1.4167E+13,2
1.4167E+13,2
1.41671E+13,2
1.41671E+13,2
1.41671E+13,1
1.41671E+13,2
1.41671E+13,1
1.41671E+13,2
1.41671E+13,1
1.41671E+13,1
1.41671E+13,1
1.41671E+13,1
1.41671E+13,1
1.41671E+13,1
1.41671E+13,1
1.41671E+13,1
1.41671E+13,1
1.41671E+13,2
1.41671E+13,1
1.41671E+13,1
1.41671E+13,1
1.41671E+13,1
1.42629E+13,2
1.42629E+13,2
1.4511E+13,2
1.45111E+13,2
1.45111E+13,2
1.45111E+13,2
1.45111E+13,2
1.45113E+13,2
1.45113E+13,2
1.45113E+13,2
1.45114E+13,2
1.45114E+13,2
1.45114E+13,2
1.45114E+13,2
1.45114E+13,2
1.45114E+13,2
1.45114E+13,2
1.45114E+13,2
1.45114E+13,2
1.45115E+13,2
1.45115E+13,2
1.45115E+13,2
1.45116E+13,2
1.45116E+13,2
1.45116E+13,2
1.45116E+13,2
1.45117E+13,2
1.45117E+13,2
1.45117E+13,2
1.45117E+13,2
1.45117E+13,2
1.45117E+13,2
1.45117E+13,2
1.45117E+13,2
1.45117E+13,2
1.45117E+13,2
1.45117E+13,2
1.45117E+13,2
1.45118E+13,2
1.45141E+13,2
1.45143E+13,2
1.45144E+13,3
1.45145E+13,3
1.45147E+13,2
1.45147E+13,2
1.45147E+13,2
1.45147E+13,2
1.4515E+13,2
1.45151E+13,2
1.45151E+13,2
1.45151E+13,2
1.45151E+13,2
1.45152E+13,2
1.45152E+13,2
1.45152E+13,2
1.45152E+13,2
1.45153E+13,2
1.45153E+13,3
1.45168E+13,3
1.45174E+13,5
1.45178E+13,3
1.4518E+13,5
1.4518E+13,4
1.45181E+13,5
1.45182E+13,3
1.45182E+13,3
1.45182E+13,3
1.45202E+13,2
1.45202E+13,1
1.45202E+13,1
1.45202E+13,2
1.45202E+13,2
1.45202E+13,3
1.45202E+13,3
1.45202E+13,2
1.45202E+13,2
1.45202E+13,2
1.45202E+13,2
1.45203E+13,2
1.45203E+13,2
1.45203E+13,2
1.45203E+13,2
1.45203E+13,2
1.45203E+13,2
1.45203E+13,3
1.45203E+13,2
1.45203E+13,2
1.45204E+13,2
1.45206E+13,1
1.45206E+13,1
1.45206E+13,2
1.45206E+13,2
1.45206E+13,1
1.45206E+13,1
1.45206E+13,2
1.45206E+13,1
1.45206E+13,1
1.45206E+13,1
1.45206E+13,1
1.45206E+13,1
1.45206E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,1
1.45207E+13,2
1.45207E+13,2
1.45207E+13,2
1.45207E+13,2
1.45207E+13,2
1.45207E+13,1
1.45207E+13,2
1.45207E+13,2
1.45207E+13,2
1.45207E+13,2
1.45207E+13,2
1.45207E+13,2
1.45207E+13,2
1.45208E+13,2
1.45208E+13,1
1.45208E+13,1
1.45208E+13,1
1.45212E+13,7
1.45213E+13,8
1.45214E+13,7
1.45215E+13,7
1.45215E+13,7
1.45217E+13,8
1.45218E+13,7
1.45218E+13,7
1.4522E+13,6
1.45221E+13,5
1.45222E+13,6
1.45222E+13,4
1.45223E+13,5
1.45224E+13,4
1.45224E+13,3
1.45225E+13,3
