PLT_CN,H_D_5cm,H_H_5cm,H_D_10cm,H_H_10cm,TPA,TPH,density_group,mean_DBH_cm,BA_m2_ha,MAT_stand_age,MAP_stand_age,CWD_stand_age,Carbon_Mg_ha,INVYR,WD.FDis,WD.CWM,Shade.tolerance.FDis,Shade.tolerance.CWM,Drought.tolerance.FDis,Drought.tolerance.CWM,SLA.FDis,SLA.CWM,Leaf.longevity.FDis,Leaf.longevity.CWM,LDMC.FDis,LDMC.CWM,Nmass.FDis,Nmass.CWM,Pmass.FDis,Pmass.CWM,LMA.FDis,LMA.CWM,Plant_height.FDis,Plant_height.CWM,PC1.FDis,PC1.CWM,PC2.FDis,PC2.CWM,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CONDID,pltID,PREV_PLT_CN.x,REMPER,CONDID,LON,LAT,STDAGE,NA_L1NAME,NA_L2NAME,NA_L3NAME,pH_mean,bdod_mean,clay_mean,nitrogen_mean
1.00172E+14,1.798381064,0.873993868,1.163898759,0.487099379,637.912876,1576.314612,High,22.02132075,65.84929361,12.50739931,1249.110398,83.96842105,92.52745332,2007,0.167226524,0.439866635,0.65496252,3.245636599,0.37168899,2.754080285,0.327697344,28.08083885,0.054137246,6.555287943,0.38671294,0.273093219,0.252331298,26.63652579,0.292993104,1.894063584,0.044643873,35.9207803,0.380043914,15.70903738,0.208228301,2.525322715,0.402207089,-0.655608518,0.698746157,0.593613739,0.949465536,0.798466143,1.172569594,1.421845092,1,5_51_105_19,4.38315E+13,6.1,1,-82.881438,36.733784,38,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,Ridge and Valley,50,130,212,240.3333333
1.00173E+14,1.67960872,1.170592434,1.070070076,0.87301938,312.938392,773.2864136,Medium,21.35553846,30.97054534,12.86464134,1068.609432,189.8473684,46.52055413,2007,0.743923012,0.492432512,0.17503321,3.548270658,0.509732678,2.430940842,0.609208607,21.65054664,0.043992287,6.127075723,0.208991019,0.300855364,0.463758862,22.41923595,0.575225836,1.942049976,0.139908554,48.17110819,0.707536604,19.69069517,0.116172405,1.807384556,0.223190009,-0.795066358,0.348694181,0.593613739,0.994731357,0.672939058,1.583057368,2.526265669,1,3_51_107_10,4.38983E+13,8.9,1,-77.531831,39.047667,48,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,Northern Piedmont,55.33333333,140,281.3333333,307
1.00174E+14,1.743323453,0.624145741,1.076073017,0.391288341,397.191036,981.4789095,High,21.62078788,40.31614317,14.59665073,1118.264223,144.948,60.23561586,2007,0.253002746,0.452119341,0.233773086,3.16807819,0.186879842,2.773045268,0.672362339,20.09261475,0,5.609099447,0.084291734,0.293454374,0.354205431,22.32010718,0.21349382,1.85111035,0.169118746,52.78297004,0.144626553,12.33638994,0.167543222,1.613179695,0.094435683,-0.260999999,NA,0.593613739,NA,NA,0.912863418,0.906862581,1,2_51_111_55,4.38334E+13,4.9,1,-78.259527,37.066655,25,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,Piedmont,49.66666667,148.6666667,241.6666667,220
1.00176E+14,2.003945763,1.236654864,1.555595286,0.572478498,228.685748,565.0939176,Low,25.27968421,34.33470737,14.77699575,1091.965935,163.9394737,68.92854092,2007,0.566275498,0.538728407,0.422695024,3.295511671,0.357655308,2.373373963,0.133548564,16.67268976,0.000195194,5.603403779,0.035004886,0.287545443,0.140724632,19.8653019,0.498995224,1.965175501,0.054057571,60.27270573,0.53202575,21.75263862,0.1438729,1.432693525,0.435725664,-0.45806369,0.126655531,0.593613739,0.639087898,0.588269312,1.210050931,1.611436241,1,2_51_117_22,4.36885E+13,7.4,1,-78.56778,36.792529,124,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,Piedmont,52,146,230,187
1.00181E+14,1.752919964,0.846597439,1.095807755,0.486406159,397.191036,981.4789095,High,20.63557576,36.54432722,5.154250658,897.5726751,110.3416667,39.4577117,2005,0,0.56,0,4.75,0,1.5,0,16.645,0,5.660336769,0,0.371714008,0,20.35,0,1.45,0,60.07810153,0,30.02977752,0,0.870279484,0,-1.867245777,NA,0.593613739,NA,NA,0,0,1,1_26_153_20397,5.5401E+13,5.1,1,-86.030373,46.414597,50,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,51.33333333,129.3333333,110,386.6666667
1.00182E+14,1.946641005,1.516358246,1.508575486,0.871738706,421.26322,1040.96248,High,21.80771429,45.19231693,11.20030908,1067.088918,152.2605263,77.42419402,2007,0.163879505,0.453659626,0.19330688,4.303915515,0.252185801,2.227660437,0.526074068,21.26931008,0,5.609099447,0,0.288374192,0.510712031,23.86305488,0,1.935232641,0.137386344,48.69217175,0.383043034,18.43165293,0.200753632,1.962419929,0.263808553,-1.44257052,NA,0.593613739,NA,NA,0.911591683,0.837688251,1,4_51_139_23,4.39086E+13,9.4,1,-78.381998,38.695608,79,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,Blue Ridge,49.33333333,131,306.6666667,336
1.00185E+14,1.748736189,0.714373132,1.075876196,0.244930027,204.613564,505.6103473,Low,21.53023529,20.56971915,8.972725315,931.2673337,173.3361111,22.74567718,2005,0,0.37,0,4.33,0,1.91,0,3.790048276,0,92.4,0,0.452686207,0,12.72989744,0,1.352,0,263.8488819,0,43.94573342,0,-4.457280038,0,-3.039147362,NA,0.593613739,NA,NA,0,0,1,4_26_161_20151,6.22675E+13,4,1,-84.067596,42.132511,49,EASTERN TEMPERATE FORESTS,CENTRAL USA PLAINS,Eastern Corn Belt Plains,61,141.3333333,268.3333333,584
1.00186E+14,1.845886663,1.196974012,1.311535802,0.603915074,409.227128,1011.220695,High,24.74258824,55.70707523,6.608946754,954.7738789,136.6527778,105.4652429,2005,0.478768816,0.356907633,0.164715823,3.395823283,0.078937808,2.831950655,0.518220515,26.15314345,0.022223573,6.871194028,0.102367857,0.308995065,0.001619656,20.80542492,0.530431859,2.633793978,0.123443867,40.16349783,0.023341,12.92909251,0.136190765,2.06886421,0.258795896,-1.06425529,NA,0.593613739,NA,NA,0.916106652,1.351385825,1,3_26_165_20004,6.22175E+13,4.1,1,-85.413908,44.35916,98,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,51,121.3333333,153.3333333,352.3333333
1.00187E+14,1.650642485,1.0094075,0.97660704,0.735224813,349.046668,862.511769,Medium,22.46586207,39.03877734,4.046241281,937.4321654,72.68333333,61.01174603,2005,0.20039725,0.356006612,1.006193562,3.167488694,0.335106918,2.454341091,1.19081513,16.00437872,1.677526586,31.91120068,0.743205387,0.357630148,0.718328246,19.15054333,1.279276054,1.874399025,1.33631678,116.8616412,0.965163084,28.5331729,1.197870018,-0.430252142,0.669849808,-1.557279231,4.081234317,0.593613739,0.758368355,0.746594474,3.501948319,13.15982588,1,2_26_103_20331,5.49626E+13,4,1,-87.902873,46.635944,80,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,45.66666667,121.6666667,103,453.3333333
1.00188E+14,1.689928987,0.899307728,1.037458379,0.66365575,505.515864,1249.154976,High,23.15633333,57.95241188,4.746856659,854.9401396,105.6138889,71.46181679,2005,0.173624471,0.379805484,0.579813575,3.996876659,0.575609706,2.262078071,0.439839114,5.800163046,1.190952507,76.22951159,0.4543808,0.430802844,0.240635326,11.91998456,0.218266942,1.420724814,0.9120437,226.0734877,0.895809103,37.5764374,0.616723329,-3.676572339,0.853005394,-2.328577079,NA,0.593613739,NA,NA,2.062956006,6.74876193,1,2_26_103_20494,5.49779E+13,3.9,1,-87.502107,46.340174,80,NORTHERN FORESTS,MIXED WOOD SHIELD,Northern Lakes and Forests,48.33333333,124,81.33333333,427
